employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
employed,0,<5000,"['education', 'Buying house', 'emergency fund']",92379,8,low,intermediate,>10000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.5%
student,>10000,<5000,"['education', 'Buying house', 'emergency fund']",144035,6,moderate,advanced,5000-10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,20.7%
employed,0,0,"['vacation', 'emergency fund', 'retirement']",125153,1,low,advanced,0,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.2%
employed,>10000,>10000,"['vacation', 'emergency fund', 'Buying house']",273358,14,high,beginner,0,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,21.8%
student,<5000,5000-10000,"['education', 'Buying house', 'emergency fund']",113133,7,low,intermediate,<5000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.7%
self-employed,>10000,5000-10000,"['vacation', 'education', 'Buying house']",306314,8,low,beginner,>10000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,14.0%
employed,5000-10000,0,"['vacation', 'education', 'emergency fund']",355845,3,high,advanced,<5000,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.2%
retired,<5000,0,"['vacation', 'education', 'emergency fund']",433876,9,high,beginner,5000-10000,>10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,24.2%
self-employed,>10000,5000-10000,"['education', 'retirement', 'Buying house']",160657,7,moderate,advanced,>10000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.9%
self-employed,>10000,<5000,"['retirement', 'Buying house', 'education']",383492,2,moderate,intermediate,>10000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.3%
employed,>10000,0,"['retirement', 'education', 'vacation']",81300,7,moderate,advanced,>10000,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.2%
student,5000-10000,5000-10000,"['vacation', 'Buying house', 'education']",116896,10,high,intermediate,0,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,24.0%
retired,<5000,5000-10000,"['retirement', 'vacation', 'education']",386793,11,high,beginner,>10000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.5%
student,<5000,0,"['retirement', 'Buying house', 'vacation']",84840,3,moderate,advanced,>10000,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.9%
student,>10000,<5000,"['emergency fund', 'vacation', 'Buying house']",397481,20,high,beginner,>10000,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.3%
self-employed,>10000,>10000,"['vacation', 'Buying house', 'retirement']",212885,10,moderate,advanced,>10000,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,14.5%
self-employed,5000-10000,5000-10000,"['Buying house', 'emergency fund', 'vacation']",157459,12,high,beginner,0,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,11.9%
unemployed,0,<5000,"['retirement', 'vacation', 'emergency fund']",488468,16,moderate,intermediate,5000-10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.1%
unemployed,<5000,5000-10000,"['education', 'vacation', 'retirement']",314484,10,low,beginner,0,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.8%
student,<5000,>10000,"['retirement', 'vacation', 'education']",321793,14,high,advanced,<5000,>10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.7%
retired,<5000,0,"['Buying house', 'vacation', 'emergency fund']",315703,12,low,beginner,0,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,20.4%
employed,5000-10000,5000-10000,"['retirement', 'education', 'Buying house']",418074,16,low,advanced,5000-10000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,16.5%
student,>10000,0,"['retirement', 'education', 'Buying house']",437282,3,low,intermediate,5000-10000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,10.9%
unemployed,5000-10000,>10000,"['emergency fund', 'education', 'retirement']",92930,12,low,intermediate,>10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.4%
unemployed,<5000,>10000,"['vacation', 'education', 'Buying house']",373017,20,moderate,intermediate,0,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.4%
retired,0,>10000,"['Buying house', 'vacation', 'emergency fund']",25712,9,low,beginner,>10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.8%
unemployed,5000-10000,<5000,"['vacation', 'emergency fund', 'education']",45961,20,high,intermediate,<5000,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.3%
retired,0,0,"['education', 'emergency fund', 'vacation']",112575,13,high,intermediate,0,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.4%
student,5000-10000,<5000,"['Buying house', 'vacation', 'retirement']",422582,2,moderate,beginner,<5000,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,22.2%
employed,0,5000-10000,"['vacation', 'education', 'emergency fund']",253209,13,low,advanced,0,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.1%
retired,0,<5000,"['education', 'emergency fund', 'Buying house']",244072,16,high,intermediate,<5000,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.7%
student,<5000,0,"['emergency fund', 'education', 'vacation']",387413,16,low,advanced,>10000,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.9%
self-employed,0,>10000,"['Buying house', 'education', 'vacation']",45854,16,low,intermediate,>10000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,4,4.7%
employed,>10000,>10000,"['vacation', 'education', 'emergency fund']",481404,16,low,advanced,>10000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.1%
self-employed,5000-10000,>10000,"['vacation', 'education', 'retirement']",195427,18,moderate,beginner,5000-10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.3%
self-employed,0,<5000,"['education', 'Buying house', 'retirement']",33241,8,moderate,advanced,>10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.8%
self-employed,5000-10000,0,"['education', 'Buying house', 'vacation']",174557,12,moderate,intermediate,0,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,17.7%
self-employed,<5000,<5000,"['education', 'Buying house', 'vacation']",146849,15,moderate,intermediate,<5000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.6%
unemployed,5000-10000,<5000,"['retirement', 'vacation', 'Buying house']",212794,6,low,intermediate,5000-10000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.9%
employed,5000-10000,<5000,"['vacation', 'retirement', 'Buying house']",301358,13,moderate,beginner,<5000,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.5%
employed,>10000,5000-10000,"['emergency fund', 'vacation', 'retirement']",105880,7,moderate,advanced,<5000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.1%
retired,5000-10000,>10000,"['education', 'Buying house', 'emergency fund']",185951,9,low,beginner,5000-10000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.4%
self-employed,>10000,5000-10000,"['Buying house', 'education', 'vacation']",291635,11,low,beginner,5000-10000,<5000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.6%
self-employed,>10000,<5000,"['education', 'vacation', 'retirement']",117636,17,high,advanced,<5000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.3%
unemployed,<5000,<5000,"['Buying house', 'vacation', 'emergency fund']",92489,11,high,advanced,0,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.5%
student,<5000,0,"['vacation', 'education', 'emergency fund']",307556,19,moderate,intermediate,5000-10000,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.3%
unemployed,>10000,5000-10000,"['emergency fund', 'vacation', 'Buying house']",120537,15,low,intermediate,<5000,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.7%
unemployed,5000-10000,>10000,"['Buying house', 'retirement', 'education']",307269,9,low,advanced,<5000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.4%
student,0,0,"['Buying house', 'emergency fund', 'vacation']",409185,3,low,intermediate,>10000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.8%
unemployed,0,>10000,"['retirement', 'vacation', 'Buying house']",60909,20,moderate,beginner,<5000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.9%
student,0,>10000,"['vacation', 'retirement', 'education']",457384,5,low,beginner,5000-10000,0,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.1%
student,<5000,<5000,"['vacation', 'education', 'emergency fund']",359319,6,low,advanced,0,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,17.1%
self-employed,>10000,0,"['Buying house', 'education', 'emergency fund']",449241,6,high,beginner,5000-10000,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.1%
employed,>10000,>10000,"['vacation', 'Buying house', 'emergency fund']",171081,2,high,intermediate,<5000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.3%
retired,0,5000-10000,"['vacation', 'retirement', 'education']",373214,16,low,beginner,0,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,7.5%
employed,>10000,<5000,"['vacation', 'education', 'Buying house']",268513,11,low,beginner,>10000,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,5,4.6%
student,5000-10000,0,"['Buying house', 'vacation', 'emergency fund']",51723,14,low,beginner,0,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.4%
unemployed,5000-10000,5000-10000,"['education', 'vacation', 'retirement']",257696,6,high,advanced,>10000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.9%
retired,0,>10000,"['education', 'vacation', 'emergency fund']",472519,14,high,beginner,>10000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,7.7%
self-employed,>10000,>10000,"['emergency fund', 'education', 'vacation']",126308,1,moderate,intermediate,>10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,21.7%
employed,0,<5000,"['vacation', 'retirement', 'Buying house']",220169,14,high,intermediate,5000-10000,>10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.2%
self-employed,0,5000-10000,"['Buying house', 'retirement', 'vacation']",272148,20,high,advanced,5000-10000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,10.0%
employed,0,5000-10000,"['Buying house', 'emergency fund', 'vacation']",482818,19,low,advanced,>10000,>10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.1%
unemployed,5000-10000,>10000,"['Buying house', 'emergency fund', 'retirement']",71025,18,high,advanced,5000-10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.2%
unemployed,<5000,0,"['emergency fund', 'Buying house', 'retirement']",32920,17,moderate,beginner,<5000,<5000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.6%
employed,0,<5000,"['Buying house', 'retirement', 'education']",52927,15,moderate,intermediate,5000-10000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.4%
employed,<5000,<5000,"['retirement', 'education', 'emergency fund']",116039,19,high,advanced,5000-10000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.4%
unemployed,5000-10000,<5000,"['education', 'Buying house', 'emergency fund']",61616,14,low,intermediate,>10000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.2%
retired,5000-10000,>10000,"['Buying house', 'emergency fund', 'education']",131285,11,high,beginner,<5000,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.5%
unemployed,5000-10000,>10000,"['Buying house', 'emergency fund', 'vacation']",327593,16,moderate,advanced,5000-10000,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,5.8%
student,5000-10000,0,"['vacation', 'emergency fund', 'retirement']",365912,17,moderate,advanced,0,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.5%
retired,>10000,0,"['Buying house', 'retirement', 'emergency fund']",144582,8,high,advanced,>10000,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.2%
retired,<5000,5000-10000,"['emergency fund', 'vacation', 'education']",478044,6,low,beginner,>10000,5000-10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,24.8%
